animal,dam,sire
CN10-M1,CN08-101,CN08-059
CN11-001,CN10-002,CN10-008
CN11-003,CN09-138,CN10-025
CN11-008,CN10-017,NA
CN11-009,CN09-098,CN10-007
CN11-014,NA,CN09-038
CN11-018,CN09-064,NA
CN11-021,CN09-112,CN10-023
CN11-023,CN09-059,CN10-023
CN11-039,CN08-076,NA
CN12-013,NA,CN09-043
CN12-018,NA,CN08-096
CN15-057,CN14-032,CN15-M8
CN09-123,CN09-014,CN08-059
CN10-022,CN09-106,CN09-141
CN10-032,CN10-053,CN10-033
CN10-035,CN09-106,CN09-141
CN10-037,CN09-075,CN10-M1
CN10-038,CN09-075,CN10-M1
CN10-044,CN09-073,CN09-045
CN10-047,CN10-030,CN10-031
CN10-051,CN10-053,CN10-033
CN10-054,CN09-132,CN09-062
CN10-055,CN09-071,CN09-090
CN10-056,CN09-132,CN09-090
CN10-057,CN10-004,CN09-090
CN10-058,CN09-075,CN09-083
CN10-062,CN08-093,CN10-M1
CN10-063,CN09-075,CN10-100
CN10-064,CN09-137,CN09-083
CN10-066,CN09-107,CN09-061
CN10-067,CN10-021,CN10-023
CN10-069,CN09-052,CN08-117
CN10-070,CN09-052,CN08-117
CN10-072,CN09-106,CN10-023
CN10-075,CN09-052,CN08-117
CN10-080,CN09-078,CN09-141
CN10-081,CN08-093,CN10-100
CN10-086,CN09-118,CN10-023
CN10-087,CN10-020,CN09-142
CN10-091,CN09-064,CN09-141
CN10-093,CN07-113,CN10-M1
CN10-097,CN09-138,CN09-131
CN10-102,CN09-075,CN09-083
CN11-004,CN10-030,CN09-080
CN11-028,CN10-004,CN11-M2
CN11-030,CN10-004,CN11-M2
CN11-034,CN11-006,CN10-046
CN11-037,CN09-137,CN11-008
CN11-038,CN09-137,CN11-008
CN11-048,CN10-068,CN11-015
CN11-051,CN10-068,CN11-015
CN12-001,CN11-039,CN09-096
CN12-003,CN10-098,CN10-065
CN12-005,CN11-006,CN10-046
CN12-007,CN11-001,CN11-026
CN12-012,NA,CN10-100
CN12-014,CN11-023,CN10-065
CN12-035,CN10-098,CN11-015
CN13-053,CN13-028,CN12-018
CN13-070,NA,CN12-018
CN11-031,CN10-063,CN11-008
CN11-032,CN11-004,CN11-005
CN11-041,CN11-023,CN10-091
CN11-043,CN11-023,CN10-091
CN11-044,CN10-097,CN09-020
CN11-046,CN10-097,CN10-054
CN11-047,CN10-068,CN10-075
CN11-052,CN09-137,CN10-054
CN12-006,CN11-004,CN10-046
CN12-008,CN11-023,CN10-091
CN12-029,CN10-069,CN12-M3
CN12-031,CN10-097,CN12-016
CN12-034,CN10-069,CN12-016
CN12-037,CN11-004,CN12-024
CN12-038,CN12-002,CN11-034
CN12-044,CN12-003,CN12-011
CN12-045,CN12-003,CN12-011
CN12-048,CN10-097,CN12-016
CN12-049,CN12-035,CN12-014
CN12-050,CN10-097,CN12-012
CN12-053,CN12-035,CN12-014
CN12-054,CN12-035,CN12-016
CN12-059,CN12-F4,CN11-028
CN12-060,CN12-001,NA
CN13-001,CN11-004,CN12-040
CN13-016,CN10-069,CN12-016
CN13-061,CN12-003,CN13-008
CN13-068,CN12-035,CN13-033
CN13-090,CN12-003,CN13-008
CN13-101,CN12-035,CN13-033
CN13-102,CN12-019,CN12-014
CN13-105,CN12-035,CN13-033
CN13-112,CN12-003,CN13-038
CN13-117,CN12-035,CN12-014
CN13-119,CN12-035,CN13-033
CN14-033,NA,CN11-028
CN14-075,CN12-035,CN13-033
CN14-093,CN13-045,CN13-070
CN15-009,NA,CN13-070
CN15-010,CN14-F2,CN13-070
CN15-069,CN13-045,CN13-070
CN12-017,CN11-031,CN12-M1
CN12-025,CN11-031,CN12-011
CN12-026,CN12-003,CN12-008
CN12-027,CN12-003,CN12-008
CN12-032,CN10-097,CN12-008
CN12-039,CN11-031,CN12-M1
CN12-042,CN11-031,CN11-034
CN12-062,CN11-031,CN12-022
CN13-005,CN11-031,CN12-022
CN13-010,CN12-053,CN12-014
CN13-018,NA,CN12-006
CN13-027,NA,CN12-006
CN13-032,CN12-053,CN12-014
CN13-034,CN12-003,CN12-049
CN13-036,CN12-053,CN13-033
CN13-037,CN12-053,CN12-014
CN13-039,CN12-044,CN12-049
CN13-051,CN12-044,CN12-049
CN13-057,CN12-029,CN12-057
CN13-063,CN12-053,CN11-028
CN13-067,CN12-053,CN11-028
CN13-084,CN12-044,CN13-008
CN13-091,CN13-016,CN12-014
CN13-093,CN12-044,CN12-051
CN13-097,CN13-016,CN12-014
CN13-106,CN12-053,CN11-028
CN13-113,CN12-044,CN13-038
CN13-114,CN12-044,CN13-038
CN13-121,CN12-029,CN12-057
CN14-015,CN14-075,NA
CN14-016,CN13-118,CN13-117
CN14-024,CN12-045,CN13-110
CN14-034,CN13-002,CN14-033
CN14-036,CN13-112,CN14-011
CN14-038,CN13-112,CN14-011
CN14-041,CN14-075,NA
CN14-047,CN12-045,CN14-011
CN14-052,CN13-112,CN14-011
CN14-053,CN13-098,CN13-117
CN14-058,CN13-083,CN14-033
CN14-061,CN13-002,CN14-033
CN14-068,CN13-045,CN14-033
CN14-079,CN12-045,CN14-011
CN14-086,CN13-016,CN14-110
CN14-092,CN12-045,CN14-011
CN14-096,CN13-002,CN14-033
CN14-097,CN13-083,CN14-033
CN14-104,CN13-112,CN14-011
CN15-004,CN12-045,CN14-011
CN15-012,CN13-112,CN14-011
CN15-022,CN13-016,CN15-M2
CN15-024,CN14-075,CN14-110
CN15-050,CN13-111,CN14-033
CN15-071,CN13-016,CN15-M2
CN16-036,CN13-016,NA
CN16-065,CN16-025,CN15-069
CN13-024,CN13-005,CN13-019
CN13-035,CN12-032,CN13-008
CN13-040,CN13-F1,CN13-027
CN13-044,CN13-005,CN12-021
CN13-048,CN13-005,CN13-019
CN13-049,CN13-005,CN13-019
CN13-065,CN12-032,CN13-033
CN13-066,CN12-032,CN13-008
CN13-071,CN13-022,CN13-027
CN13-076,CN12-047,CN12-026
CN13-077,CN13-055,CN12-026
CN13-089,CN13-055,CN12-026
CN13-092,CN13-022,CN13-018
CN13-104,CN12-032,CN11-028
CN13-116,CN12-032,CN13-033
CN14-023,CN13-005,CN13-070
CN14-028,CN13-005,CN12-021
CN14-030,CN13-022,CN13-018
CN14-045,CN13-063,CN13-101
CN14-046,CN13-119,CN13-106
CN14-049,CN13-016,CN13-106
CN14-060,CN13-114,CN14-011
CN14-074,CN13-063,CN13-051
CN14-076,CN13-119,CN13-106
CN14-077,CN13-119,CN13-106
CN14-080,CN13-057,CN14-110
CN14-081,CN13-057,NA
CN14-082,CN13-016,CN13-106
CN14-084,CN13-016,CN13-106
CN14-090,CN13-114,CN14-011
CN14-101,CN13-098,CN13-051
CN14-102,CN13-114,CN13-110
CN14-103,CN13-057,CN13-117
CN14-107,CN13-119,CN13-106
CN15-013,CN13-057,CN13-106
CN15-016,CN13-119,CN13-051
CN15-048,CN14-097,CN15-M6
CN15-054,CN15-004,CN15-069
CN15-055,CN15-004,CN15-M10
CN15-060,CN14-003,CN14-034
CN15-062,CN14-104,CN15-053
CN15-063,CN14-104,CN15-053
CN15-067,CN14-024,CN15-009
CN15-068,CN14-024,CN15-009
CN15-085,CN15-012,CN15-053
CN15-086,CN14-104,CN15-053
CN15-088,CN15-012,CN15-053
CN16-003,CN14-061,CN15-M6
CN16-006,CN14-092,CN15-M10
CN16-015,CN15-007,CN14-034
CN16-016,CN14-061,CN15-033
CN16-017,CN14-097,CN15-M13
CN16-022,CN15-007,CN14-034
CN16-026,CN15-024,CN15-028
CN16-038,CN15-F5,CN14-036
CN16-105,CN15-007,CN14-034
CN13-082,CN13-044,CN13-001
CN13-115,CN13-035,CN13-038
CN14-002,CN13-040,CN13-018
CN14-013,CN13-066,CN13-051
CN14-014,CN13-066,CN13-051
CN14-019,CN13-116,CN13-075
CN14-026,CN13-048,CN13-070
CN14-027,CN13-048,CN14-033
CN14-035,CN14-030,CN14-M1
CN14-037,CN13-066,CN13-075
CN14-043,CN13-065,CN13-088
CN14-050,CN13-116,CN13-075
CN14-057,CN13-044,CN14-033
CN14-063,CN14-004,CN13-049
CN14-066,CN14-028,NA
CN14-067,CN14-028,CN14-098
CN14-072,CN13-035,CN13-075
CN14-073,CN13-116,CN13-075
CN14-094,CN13-044,CN14-033
CN14-108,CN13-066,CN14-011
CN15-001,CN14-030,CN13-042
CN15-002,CN13-044,CN14-033
CN15-006,CN13-048,CN14-033
CN15-014,CN13-065,CN13-075
CN15-017,CN14-074,CN15-M1
CN15-026,CN13-066,CN14-077
CN15-027,CN14-107,CN15-M1
CN15-029,CN14-028,CN15-049
CN15-040,CN13-048,CN13-070
CN15-045,CN14-061,CN14-023
CN15-046,CN14-097,CN14-023
CN15-047,CN15-050,CN14-023
CN15-051,CN15-F2,CN14-023
CN15-052,CN15-F2,CN14-023
CN15-061,CN15-012,CN15-013
CN15-064,CN14-107,CN15-M1
CN15-065,CN14-074,CN15-M11
CN15-070,CN14-080,CN15-M2
CN15-072,CN14-107,CN15-M1
CN15-073,CN14-082,CN15-M2
CN15-077,CN14-090,CN15-009
CN15-087,CN15-050,CN14-023
CN15-090,CN14-074,CN15-M1
CN15-091,CN14-074,CN15-M1
CN15-094,CN15-F2,CN14-023
CN15-097,CN14-074,CN15-M1
CN16-009,CN15-024,CN14-101
CN16-018,CN13-111,CN14-023
CN16-024,CN14-028,CN14-M1
CN16-029,CN13-035,CN15-053
CN16-030,CN13-035,CN15-053
CN16-033,CN15-F7,CN15-013
CN16-037,CN14-084,CN15-028
CN16-039,CN14-084,CN14-101
CN16-040,CN14-028,CN14-M1
CN16-051,CN16-022,CN16-021
CN16-053,CN15-054,NA
CN16-060,CN15-016,CN15-M1
CN16-066,CN15-086,CN15-069
CN16-068,CN15-086,CN15-069
CN16-069,CN15-068,CN16-032
CN16-070,CN15-068,CN16-032
CN16-072,CN15-086,CN15-069
CN16-087,CN15-068,CN16-032
CN16-101,CN16-022,CN16-021
CN16-106,CN16-025,CN15-088
CN16-108,CN14-088,CN15-062
CN14-012,CN13-115,CN13-093
CN14-055,CN14-002,CN14-M1
CN14-056,CN14-030,CN13-082
CN14-059,CN13-002,CN13-082
CN14-100,CN13-065,CN13-082
CN15-003,CN13-074,CN13-082
CN15-008,CN14-002,CN14-M1
CN15-020,CN14-002,CN14-M1
CN15-030,CN15-006,CN15-M3
CN15-032,CN15-002,CN15-033
CN15-034,CN15-079,CN15-001
CN15-041,CN15-079,CN15-001
CN15-042,CN15-006,CN15-M6
CN15-043,CN15-006,CN15-M6
CN15-044,CN15-006,CN15-M6
CN15-056,CN15-040,CN15-M6
CN15-078,CN15-079,CN15-001
CN15-080,CN14-094,CN15-M3
CN16-004,CN14-094,CN15-033
CN16-023,CN15-040,CN15-M9
CN16-031,CN15-014,CN15-053
CN16-043,CN15-006,CN15-M9
CN16-044,CN14-094,CN16-008
CN16-047,CN15-F6,CN14-072
CN16-055,CN15-040,CN15-M13
CN16-057,CN15-091,CN16-029
CN16-058,CN16-060,CN16-028
CN16-061,CN16-060,CN16-028
CN16-062,CN16-026,CN16-040
CN16-063,CN16-030,CN15-088
CN16-067,CN15-086,CN16-040
CN16-073,CN14-088,CN16-040
CN16-075,CN16-039,CN15-082
CN16-076,CN16-039,CN15-087
CN16-077,CN16-039,CN15-082
CN16-078,CN15-073,CN16-028
CN16-079,CN16-039,CN15-082
CN16-080,CN16-026,CN16-040
CN16-083,CN14-094,CN16-008
CN16-084,CN16-018,CN16-014
CN16-094,CN14-094,CN16-008
CN16-098,CN16-018,CN16-014
CN16-099,CN16-018,CN16-054
CN16-107,CN14-088,CN16-040
CN16-109,CN16-035,CN16-024
CN16-110,CN16-035,CN16-024
CN16-111,CN16-039,CN15-082
CN16-112,CN16-037,CN16-034
CN16-113,CN16-037,CN16-028
CN16-114,CN16-037,CN16-034
CN16-115,CN16-026,CN16-040
CN16-116,CN16-026,CN16-040
CN15-035,CN15-008,CN15-M9
CN15-037,CN14-056,CN15-M5
CN15-039,CN14-056,CN15-M5
CN15-081,CN15-003,CN15-033
CN15-083,CN15-008,CN14-098
CN15-084,CN14-055,CN15-M5
CN16-010,CN14-056,CN15-M5
CN16-012,CN15-008,NA
CN16-019,CN14-056,CN15-M5
CN16-041,NA,CN15-042
CN16-042,NA,CN15-042
CN16-046,CN15-003,CN16-007
CN16-049,NA,CN16-047
CN16-056,CN15-008,CN15-M9
CN16-086,CN15-068,CN16-047
CN16-088,CN15-003,CN16-007
CN16-089,CN16-004,CN16-008
CN16-090,CN16-004,CN16-007
CN16-091,CN16-006,CN16-047
CN16-092,CN16-006,CN16-047
CN16-093,CN15-003,CN15-033
CN16-045,CN15-081,CN16-007
CN16-096,CN15-083,CN15-042
CN16-097,CN16-043,CN16-012
CN16-100,CN16-023,CN16-012
CN16-103,CN15-083,CN16-021
CN16-104,CN15-083,CN16-020
