animal,dam,sire
CN06-105,CN06-104,CN06-064
CN06-106,CN06-104,CN06-064
CN06-107,CN06-108,CN06-M13
CN06-109,CN06-F14,NA
CN06-110,CN06-F14,CN06-M13
CN06-111,CN06-104,CN06-064
CN06-115,CN06-004,CN06-017
CN06-116,CN06-038,CN06-027
CN06-117,CN06-038,CN06-027
CN06-118,CN06-025,CN06-027
CN06-119,CN06-025,CN06-M9
CN06-120,CN06-025,CN06-027
CN06-122,CN05-F6,CN05-M6
CN06-123,CN06-021,CN06-006
CN06-127,CN06-126,CN06-015
CN06-128,CN06-004,CN06-017
CN06-129,CN06-007,CN06-002
CN06-136,CN06-126,CN06-015
CN06-142,CN06-033,CN06-M16
CN06-143,CN06-034,CN06-M16
CN06-145,CN06-108,CN06-M13
CN06-146,CN06-033,CN06-064
CN06-147,CN06-053,CN06-064
CN06-151,CN06-039,CN06-027
CN06-152,CN06-038,CN06-027
CN06-153,CN06-F3,CN06-063
CN06-154,CN06-148,CN06-037
CN06-155,CN06-036,NA
CN06-156,CN06-039,CN06-M18
CN06-157,CN06-150,CN06-M11
CN06-159,CN06-150,CN06-M11
CN06-160,CN06-038,CN06-027
CN06-161,CN06-148,CN06-M18
CN06-162,CN06-148,CN06-M10
CN06-164,CN06-104,CN06-064
CN06-166,CN06-076,CN06-058
CN06-168,CN06-077,CN06-M13
CN06-170,CN06-077,CN06-M13
CN06-171,CN06-104,CN06-042
CN06-173,CN06-104,CN06-042
CN06-174,CN06-076,CN06-085
CN06-176,CN06-077,CN06-M13
CN06-177,CN06-108,CN06-064
CN06-178,CN06-051,CN06-M13
CN06-179,CN06-051,CN06-M13
CN06-182,CN06-081,CN06-085
CN06-183,CN06-081,CN06-058
CN06-187,CN06-051,CN06-086
CN06-188,CN06-185,CN06-086
CN06-189,CN06-084,CN06-M7
CN06-190,CN06-081,CN06-M12
CN06-191,CN06-081,CN06-086
CN06-192,CN06-185,CN06-061
CN06-193,CN06-053,CN06-064
CN06-194,CN06-007,CN06-002
CN06-195,CN06-126,CN06-005
CN06-196,CN06-012,CN06-015
CN06-197,CN06-024,CN07-M10
CN06-203,CN06-150,CN06-027
CN06-206,CN06-014,CN06-006
CN06-207,CN06-150,NA
CN06-208,CN06-108,CN06-042
CN06-209,CN06-034,CN06-064
CN06-210,CN06-044,CN07-M15
CN06-213,CN06-108,CN06-042
CN06-214,CN06-053,CN06-042
CN06-221,CN06-081,CN06-086
CN06-222,CN06-084,CN06-M7
CN07-002,CN06-F5,CN06-018
CN07-004,CN06-205,CN06-018
CN07-005,CN06-205,CN06-018
CN07-007,CN06-021,NA
CN07-012,NA,CN06-M5
CN07-013,NA,CN06-058
CN07-018,CN06-052,CN06-061
CN07-021,CN06-084,CN06-M7
CN07-022,CN06-056,CN06-061
CN07-024,CN06-040,CN07-M15
CN07-025,CN06-F5,CN06-018
CN07-031,CN06-081,CN06-086
CN07-041,CN06-104,CN07-014
CN07-043,CN06-044,CN06-037
CN07-046,CN06-025,CN06-027
CN07-075,CN06-104,CN07-014
CN07-083,CN06-056,CN07-M6
CN07-110,CN06-025,CN06-027
CN07-115,CN06-104,CN06-055
CN07-127,CN06-104,CN07-014
CN07-128,CN06-014,CN06-017
CN07-144,CN06-036,NA
CN07-152,CN06-007,CN06-027
CN07-156,CN06-007,CN06-027
CN07-M8,NA,CN06-M15
CN08-001,NA,CN07-014
CN08-011,NA,CN07-M15
CN08-055,CN08-026,CN08-013
CN08-095,NA,CN08-068
CN08-099,CN07-F1,CN06-006
CN08-107,CN08-026,CN08-M5
CN08-108,CN08-026,CN08-013
CN09-021,NA,CN08-050
CN09-129,CN09-037,CN08-050
CN10-001,NA,CN09-080
CN10-007,NA,CN08-050
CN10-010,NA,CN09-M6
CN10-023,NA,CN08-050
CN10-048,NA,CN10-039
CN11-015,NA,CN10-039
CN12-002,NA,CN11-005
CN12-011,CN12-009,CN11-005
CN12-021,CN12-009,CN12-M2
CN12-041,CN12-F2,CN12-040
CN12-043,CN12-009,CN11-036
CN12-051,CN12-F3,CN12-M3
CN12-057,CN12-030,CN11-040
CN12-063,CN12-030,CN12-016
CN13-004,NA,CN12-040
CN13-015,CN12-030,CN12-016
CN13-017,NA,CN12-058
CN13-022,NA,CN10-008
CN13-041,CN13-F2,NA
CN13-042,CN13-F2,NA
CN13-046,CN12-004,NA
CN13-069,CN13-F3,NA
CN13-073,CN13-F1,CN13-012
CN13-074,CN13-F3,NA
CN13-078,CN12-004,CN13-019
CN13-109RM,CN12-004,CN13-019
CN14-054,CN14-004,CN14-031
CN14-062,CN14-003,CN14-M5
CN14-064,NA,CN14-031
CN14-085,NA,CN13-012
CN15-019,CN14-F2,CN13-012
CN15-025,CN14-087,CN15-028
CN15-033,CN14-F2,NA
CN15-036,CN14-004,CN14-031
CN15-053,CN16-065,CN14-031
CN15-059,NA,CN15-M11
CN15-075,NA,CN15-028
CN15-076,CN14-087,CN15-028
CN15-082,CN15-F3,CN15-066
CN16-007,CN15-F4,CN15-M12
CN16-008,CN15-F5,NA
CN16-011,NA,CN15-M12
CN16-013,NA,CN15-M6
CN16-014,CN15-F6,CN15-M13
CN16-032,CN15-F3,CN15-066
CN16-034,CN14-F2,NA
CN16-059,NA,CN15-M2
CN06-073,CN06-050,CN06-085
CN06-078,CN06-071,CN06-M13
CN06-082,CN06-094,CN06-M12
CN06-096,CN06-080,CN06-058
CN06-102,CN06-088,CN06-064
CN06-113,CN06-088,CN06-M15
CN06-121,CN06-122,CN06-M15
CN06-124,CN06-122,CN06-M15
CN06-130,CN06-011,CN06-015
CN06-133,CN06-088,CN06-M15
